Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
Ken Climo,55,18,26,45,51,5.31,3,34.62,50.0,86.54,98.08,"138,224","2,658","84,995","16,242"
Paul McBeth,47,17,28,35,42,8.45,0,36.17,59.57,74.47,89.36,"204,258","4,346","127,895","12,330"
Dave Feldberg,62,7,17,44,48,12.90,1,11.48,27.87,72.13,78.69,"119,310","1,956","42,709","17,189"
Ricky Wysocki,36,6,21,30,33,7.83,0,16.67,58.33,83.33,91.67,"124,250","3,451","38,511","9,445"
Barry Schultz,50,5,13,29,36,14.60,0,10.00,26.00,58.00,72.00,"94,329","1,887","39,300","15,501"
Nate Doss,54,4,14,38,46,11.54,0,7.41,25.93,70.37,85.19,"100,376","1,859","29,500","15,478"
Will Schusterick,37,4,10,19,24,24.08,0,10.81,27.03,51.35,64.86,"69,395","1,876","31,550","10,296"
Avery Jenkins,63,3,9,24,40,25.97,0,4.76,14.29,38.10,63.49,"74,100","1,176","18,705","18,193"
Steve Rico,49,2,6,25,37,16.31,1,4.17,12.50,52.08,77.08,"56,857","1,185","8,611","15,340"
Nikko Locastro,43,2,11,23,31,16.47,0,4.65,25.58,53.49,72.09,"81,982","1,907","20,450","11,772"
Sam Ferrans,37,2,3,8,13,58.22,0,5.41,8.11,21.62,35.14,"12,823",347,"5,000","12,109"
Harold Duvall,34,2,3,4,6,104.36,1,6.06,9.09,12.12,18.18,"4,271",129,"2,675","11,076"
Eric McCabe,29,2,4,10,16,22.07,0,6.90,13.79,34.48,55.17,"33,506","1,155","9,000","8,204"
Eagle McMahon,21,2,5,15,17,11.48,0,9.52,23.81,71.43,80.95,"50,577","2,408","17,843","5,243"
Jesper Lundmark,21,2,3,10,19,12.14,0,9.52,14.29,47.62,90.48,"25,962","1,236","6,922","6,250"
James Conrad,20,2,4,6,10,26.45,0,10.00,20.00,30.00,50.00,"51,697","2,585","28,500","5,593"
Chris Dickerson,15,2,2,9,13,10.67,0,13.33,13.33,60.00,86.67,"49,310","3,287","23,000","3,828"
Steve Brinster,52,1,3,14,28,24.55,1,1.96,5.88,27.45,54.90,"50,770",995,"7,500","15,398"
Gregg Barsby,44,1,4,10,23,24.78,3,2.44,9.76,24.39,56.10,"50,317","1,227","10,000","11,715"
Jeremy Koling,38,1,3,10,22,21.13,0,2.63,7.89,26.32,57.89,"47,373","1,247","10,000","10,152"
Nate Sexton,34,1,2,17,21,16.88,0,2.94,5.88,50.00,61.76,"59,286","1,744","12,000","9,448"
Cameron Todd,27,1,3,8,16,22.00,0,3.70,11.11,29.63,59.26,"26,275",973,"3,065","8,377"
Gregg Hosfeld,20,1,1,2,9,34.15,0,5.00,5.00,10.00,45.00,"7,003",350,"2,500","5,723"
John Ahart,17,1,4,8,13,19.65,0,5.88,23.53,47.06,76.47,"11,718",689,"3,900","6,107"
Ron Russell,16,1,5,6,11,18.50,0,6.25,31.25,37.50,68.75,"17,190","1,074","4,000","5,703"
Steve Cup 15,15,1,2,3,9,24.07,0,6.67,13.33,20.00,60.00,"8,473",565,"2,000","4,731"
Johnny Sias,15,1,2,2,7,42.73,0,6.67,13.33,13.33,46.67,"3,062",204,"1,090","4,543"
Jeff Watson,6,1,1,2,2,45.33,0,16.67,16.67,33.33,33.33,489,82,0,"1,797"
Gannon Buhr,5,1,1,2,4,13.00,0,20.00,20.00,40.00,80.00,"32,573","6,515","25,000","1,300"
Dave Dunipace,44,0,1,3,7,72.71,2,0.00,2.38,7.14,16.67,"2,532",60,0,"13,786"
Paul Ulibarri,42,0,3,19,26,21.85,1,0.00,7.32,46.34,63.41,"45,325","1,105",0,"11,200"
JohnE McCray,40,0,3,9,22,25.89,2,0.00,7.89,23.68,57.89,"35,620",937,0,"11,871"
Matt Orum,38,0,3,17,28,20.70,1,0.00,8.11,45.95,75.68,"52,584","1,421",0,"10,848"
Philo Brathwaite,37,0,0,5,11,32.03,0,0.00,0.00,13.51,29.73,"22,390",605,0,"10,525"
David L. 33,33,0,1,9,16,46.23,3,0.00,3.33,30.00,53.33,"11,926",398,0,"8,854"
Simon Lizotte,32,0,4,14,21,21.16,0,0.00,12.50,43.75,65.63,"34,593","1,081",0,"8,380"
DeVan Owens,32,0,1,11,21,20.19,1,0.00,3.23,35.48,67.74,"25,106",810,0,"8,511"
Garrett Gurthie,29,0,1,6,13,26.48,0,0.00,3.45,20.69,44.83,"24,803",855,0,"8,599"
Jay Yeti 29,29,0,0,1,7,48.79,0,0.00,0.00,3.45,24.14,"11,628",401,0,"8,981"
Cale Leiviska,28,0,3,11,20,14.89,0,0.00,10.71,39.29,71.43,"33,600","1,200",0,"8,225"
Markus Källström,27,0,3,12,19,18.35,1,0.00,11.54,46.15,73.08,"25,657",987,0,"7,834"
Michael Johansen,27,0,0,7,17,24.65,1,0.00,0.00,26.92,65.38,"25,329",974,0,"7,418"
Josh Anthon,26,0,6,12,23,13.24,1,0.00,24.00,48.00,92.00,"42,679","1,707",0,"7,208"
Brian Schweberger,26,0,2,7,15,20.63,2,0.00,8.33,29.17,62.50,"26,840","1,118",0,"6,731"
Joseph Mela,26,0,1,6,9,34.27,0,0.00,3.85,23.08,34.62,"12,910",497,0,"8,182"
Seppo Paju,26,0,0,6,12,30.85,0,0.00,0.00,23.08,46.15,"17,362",668,0,"6,948"
Karl Johan 25,25,0,1,11,17,19.08,0,0.00,4.00,44.00,68.00,"24,307",972,0,"6,080"
Kevin McCoy,25,0,1,4,11,33.72,0,0.00,4.00,16.00,44.00,"14,553",582,0,"8,399"
13175,25,0,0,1,3,54.04,0,0.00,0.00,4.00,12.00,"5,158",206,0,"8,061"
Manabu Kajiyama,23,0,2,4,11,24.70,0,0.00,8.70,17.39,47.83,"16,527",719,0,"6,910"
Brad Hammock,23,0,1,9,13,26.70,0,0.00,4.35,39.13,56.52,"15,868",690,0,"7,259"
Brian McRee,23,0,0,2,6,36.22,0,0.00,0.00,8.70,26.09,"10,577",460,0,"8,098"
Jalle Stoor,23,0,0,2,8,34.55,1,0.00,0.00,9.09,36.36,"10,246",466,0,"5,513"
11234,23,0,0,2,6,43.70,0,0.00,0.00,8.70,26.09,"6,780",295,0,"6,531"
Michael Sullivan,22,0,2,5,9,37.86,1,0.00,9.52,23.81,42.86,"8,147",388,0,"6,680"
Dr. Rick 22,22,0,0,4,10,27.36,0,0.00,0.00,18.18,45.45,"12,134",552,0,"7,342"
Bamba Rico,22,0,0,1,5,54.05,0,0.00,0.00,4.55,22.73,"3,498",159,0,"8,545"
Brad Schick,22,0,0,1,2,43.77,0,0.00,0.00,4.55,9.09,"8,427",383,0,"6,959"
Dean Tannock,20,0,1,3,11,30.20,0,0.00,5.00,15.00,55.00,"14,345",717,0,"6,665"
Drew Gibson,20,0,0,3,5,29.75,0,0.00,0.00,15.00,25.00,"17,220",861,0,"5,551"
Phil Arthur,20,0,0,2,8,30.60,0,0.00,0.00,10.00,40.00,"9,914",496,0,"5,850"
Craig Gangloff,19,0,1,3,3,43.68,0,0.00,5.26,15.79,15.79,"7,043",371,0,"6,129"
Mike Moser,19,0,0,8,12,20.11,0,0.00,0.00,42.11,63.16,"14,782",778,0,"6,733"
Pasi Koivu,19,0,0,4,8,31.74,0,0.00,0.00,21.05,42.11,"10,302",542,0,"4,705"
Geoff Bennett,19,0,0,3,5,32.42,0,0.00,0.00,15.79,26.32,"9,513",501,0,"5,704"
Dustin Keegan,19,0,0,1,3,50.47,0,0.00,0.00,5.26,15.79,"7,260",382,0,"5,527"
Leo Piironen,19,0,0,1,5,27.21,0,0.00,0.00,5.26,26.32,"9,456",498,0,"4,657"
Cameron Colglazier,18,0,0,6,12,18.06,0,0.00,0.00,33.33,66.67,"18,217","1,012",0,"5,160"
David Wiggins 18,18,0,0,1,5,42.17,0,0.00,0.00,5.56,27.78,"8,703",484,0,"5,325"
27555,18,0,0,1,6,30.83,0,0.00,0.00,5.56,33.33,"7,065",393,0,"4,423"
Timmy Gill,18,0,0,1,3,50.53,1,0.00,0.00,5.88,17.65,"5,778",340,0,"5,934"
Geoff Lissaman,17,0,2,10,14,11.12,0,0.00,11.76,58.82,82.35,"10,910",642,0,"6,343"
Larry Leonard,17,0,2,5,10,21.47,0,0.00,11.76,29.41,58.82,"13,175",775,0,"6,027"
Christian Sandström,17,0,0,3,6,42.25,1,0.00,0.00,18.75,37.50,"6,154",385,0,"4,704"
Chris Sprague,17,0,0,4,7,31.06,0,0.00,0.00,23.53,41.18,"10,552",621,0,"5,515"
42493,17,0,0,3,6,29.06,0,0.00,0.00,17.65,35.29,"9,153",538,0,"4,401"
Bradley Williams,17,0,0,2,8,29.35,0,0.00,0.00,11.76,47.06,"11,605",683,0,"4,911"
4573,17,0,0,2,5,46.13,2,0.00,0.00,13.33,33.33,"2,766",184,0,"5,072"
Dan Ginnelly,16,0,0,1,5,41.13,1,0.00,0.00,6.67,33.33,"4,567",304,0,"4,962"
Walter Haney,16,0,0,3,11,19.13,0,0.00,0.00,18.75,68.75,"12,188",762,0,"5,515"
Zach Melton,16,0,0,2,5,43.81,0,0.00,0.00,12.50,31.25,"9,471",592,0,"4,330"
Adam Olsen,16,0,0,1,4,53.88,0,0.00,0.00,6.25,25.00,"3,599",225,0,"4,783"
Mike Randolph,15,0,3,10,12,11.60,0,0.00,20.00,66.67,80.00,"18,221","1,215",0,"5,956"
Scott Martin,15,0,3,7,9,24.33,0,0.00,20.00,46.67,60.00,"19,225","1,282",0,"5,128"
Jussi Meresmaa,15,0,0,9,11,21.14,1,0.00,0.00,64.29,78.57,"17,152","1,225",0,"3,657"
Steve Slasor,15,0,0,6,7,34.47,0,0.00,0.00,40.00,46.67,"1,768",118,0,"4,374"
39696,15,0,0,2,6,30.07,0,0.00,0.00,13.33,40.00,"9,297",620,0,"3,604"
Eric Oakley,15,0,0,2,6,37.40,0,0.00,0.00,13.33,40.00,"12,062",804,0,"4,038"
27554,15,0,0,1,6,34.53,0,0.00,0.00,6.67,40.00,"5,016",334,0,"3,840"
Lassi Hakulinen,15,0,0,1,3,50.29,1,0.00,0.00,7.14,21.43,"2,680",191,0,"3,330"
5936,15,0,0,1,8,32.07,0,0.00,0.00,6.67,53.33,"5,178",345,0,"5,910"
Calvin Heimburg,14,0,3,5,10,17.36,0,0.00,21.43,35.71,71.43,"37,791","2,699",0,"3,772"
Scott Stokely,14,0,2,9,12,16.77,1,0.00,15.38,69.23,92.31,"13,091","1,007",0,"4,834"
Alan Schack,14,0,2,4,7,32.07,0,0.00,14.29,28.57,50.00,"10,273",734,0,"4,557"
Mitch McClellan,14,0,1,3,5,37.29,0,0.00,7.14,21.43,35.71,"3,769",269,0,"5,392"
Chris Clemons,14,0,1,3,8,21.93,0,0.00,7.14,21.43,57.14,"22,230","1,588",0,"3,769"
30940,14,0,0,2,4,53.92,2,0.00,0.00,16.67,33.33,"3,084",257,0,"3,051"
8060,14,0,0,2,4,69.36,0,0.00,0.00,14.29,28.57,"4,491",321,0,"4,175"
4622,14,0,0,1,3,39.57,0,0.00,0.00,7.14,21.43,"3,131",224,0,"6,027"
Josh Childs,14,0,0,1,4,35.43,0,0.00,0.00,7.14,28.57,"6,374",455,0,"4,142"
Chris Heeren,14,0,0,1,4,47.14,0,0.00,0.00,7.14,28.57,"4,335",310,0,"5,193"
Austin Hannum,14,0,0,1,2,45.50,0,0.00,0.00,7.14,14.29,"8,179",584,0,"3,690"
Kevin Jones,13,0,2,6,7,17.92,0,0.00,15.38,46.15,53.85,"27,403","2,108",0,"3,373"
Mike Young,13,0,1,2,3,43.31,0,0.00,7.69,15.38,23.08,"7,888",607,0,"4,613"
Adam Hammes,13,0,0,3,4,36.00,0,0.00,0.00,23.08,30.77,"10,053",773,0,"3,509"
Väinö Mäkelä,13,0,0,2,6,27.25,1,0.00,0.00,16.67,50.00,"10,677",890,0,"3,021"
Shawn Sinclair,13,0,0,2,3,29.15,0,0.00,0.00,15.38,23.08,"5,948",458,0,"4,719"
8573,13,0,0,1,3,38.20,3,0.00,0.00,10.00,30.00,"4,223",422,0,"2,556"
Max Nichols,12,0,0,1,3,50.92,0,0.00,0.00,8.33,25.00,"6,049",504,0,"3,513"
26586,12,0,0,2,3,48.75,0,0.00,0.00,16.67,25.00,"3,731",311,0,"3,059"
5310,12,0,0,2,6,31.25,0,0.00,0.00,16.67,50.00,"3,935",328,0,"3,531"
Jeff Harper,12,0,0,1,4,37.25,0,0.00,0.00,8.33,33.33,"2,105",175,0,"4,639"
6075,12,0,0,1,3,74.92,0,0.00,0.00,8.33,25.00,"2,164",180,0,"3,580"
Benjamin Callaway,11,0,0,1,1,50.73,0,0.00,0.00,9.09,9.09,"6,078",553,0,"3,173"
Anthony Barela,11,0,0,1,2,43.36,0,0.00,0.00,9.09,18.18,"7,955",723,0,"2,912"
David McCormack,11,0,0,1,3,43.82,0,0.00,0.00,9.09,27.27,"1,561",142,0,"3,861"
Crazy John 10,10,0,2,6,7,12.67,1,0.00,22.22,66.67,77.78,"6,380",709,0,"3,628"
Timo Pursio,10,0,2,4,5,22.70,0,0.00,20.00,40.00,50.00,"10,318","1,032",0,"2,659"
Eric Tracy,10,0,1,4,6,22.10,0,0.00,10.00,40.00,60.00,"7,906",791,0,"3,501"
Emerson Keith,10,0,1,2,5,30.30,0,0.00,10.00,20.00,50.00,"13,721","1,372",0,"2,697"
Albert Tamm,10,0,1,2,2,32.30,0,0.00,10.00,20.00,20.00,"7,284",728,0,"2,648"
Conrad Damon,10,0,1,2,2,41.20,0,0.00,10.00,20.00,20.00,"1,674",167,0,"3,265"
Joel Freeman,10,0,0,4,6,17.40,0,0.00,0.00,40.00,60.00,"15,320","1,532",0,"2,693"
Lavone Wolfe,10,0,0,3,6,47.33,1,0.00,0.00,33.33,66.67,"1,055",117,0,"2,395"
Johnny Lissaman,10,0,0,1,3,27.80,0,0.00,0.00,10.00,30.00,"1,777",178,0,"3,302"
Rivers Sherrod,10,0,0,1,1,60.90,0,0.00,0.00,10.00,10.00,"1,500",150,0,"4,010"
Patrick Brown,10,0,0,1,2,59.60,0,0.00,0.00,10.00,20.00,"5,563",556,0,"2,735"
26425,10,0,0,2,3,57.89,1,0.00,0.00,22.22,33.33,"1,554",173,0,"2,199"
9666,10,0,0,2,3,34.00,0,0.00,0.00,20.00,30.00,"4,200",420,0,"3,355"
Micah Dorius,10,0,0,2,3,24.70,0,0.00,0.00,20.00,30.00,"8,522",852,0,"3,416"
David Harless,10,0,0,1,1,68.30,0,0.00,0.00,10.00,10.00,897,90,0,"3,075"
